"","nombre.común","nombre.inglés","nombre.cientifico","registro_último_año","conteo_max_último_año","checklist.x","conteo_max_h","año_max_h","checklist.y","prom_conteos_5_años","cod_rep","clasificación.RCE","clasificación.IUCN","Chile.total"
"61","Viudita","Patagonian Tyrant","Colorhamphus parvirostris",TRUE,1,"S223905981",2,2021,"S89106807",1,0,"","LC","X"
"62","Golondrina chilena","Chilean Swallow","Tachycineta leucopyga",TRUE,2,"S208378467",11,2022,"S101025656",3,0,"","LC","X"
"63","Golondrina de dorso negro","Blue-and-white Swallow","Pygochelidon cyanoleuca",FALSE,0,NA,8,2019,"S61649066",2,0,"","LC","X"
"64","Chercán común","Southern House Wren","Troglodytes musculus",TRUE,11,"S217902554",11,2025,"S217902554",2,2,"","LC","X"
"65","Tenca chilena","Chilean Mockingbird","Mimus thenca",TRUE,0,"S210617350",0,2025,"S210617350",0,0,"","LC","X"
"66","Zorzal patagónico","Austral Thrush","Turdus falcklandii",TRUE,4,"S272445880",8,2018,"S49149731",2,2,"","LC","X"
"67","Gorrión","House Sparrow","Passer domesticus",TRUE,4,"S218289707",4,2025,"S218289707",4,0,"","LC","IN"
"68","Jilguero austral","Black-chinned Siskin","Spinus barbatus",TRUE,2,"S208266309",100,2020,"S69672350",7,2,"","LC","X"
"69","Chincol","Rufous-collared Sparrow","Zonotrichia capensis",TRUE,4,"S218289707",21,2021,"S87507331",3,4,"","LC","X"
"70","Mirlo común","Shiny Cowbird","Molothrus bonariensis",FALSE,0,NA,1,2023,"S125038668,S125038669",1,2,"","LC","IN"
"71","Tordo","Austral Blackbird","Curaeus curaeus",TRUE,4,"S218289707",14,2022,"S107305800,S107305801",5,0,"","LC","X"
"72","Cometocino patagónico","Patagonian Sierra Finch","Phrygilus patagonicus",TRUE,2,"S208378467",25,2019,"S101333854,S55736854,S55738938",1,2,"","LC","X"
"73","Diuca común","Diuca Finch","Diuca diuca",FALSE,0,NA,1,2022,"S120281480,S120281481",1,2,"","LC","X"
"74","Chirihue común","Grassland Yellow-Finch","Sicalis luteola",TRUE,5,"S208266309",6,2023,"S125125178,S125125179",3,0,"","LC","X"
